0.52,5.3339
0.53,4.9133
0.54,4.5506
0.55,4.2365
0.56,3.9631
0.57,3.7241
0.58,3.5145
0.59,3.3298
0.6,3.1667
0.61,3.022
0.62,2.8933
0.63,2.7785
0.64,2.6758
0.65,2.5836
0.66,2.5007
0.67,2.4259
0.68,2.3583
0.69,2.2969
0.7,2.2412
0.71,2.1904
0.72,2.144
0.73,2.1015
0.74,2.0625
0.75,2.0267
0.76,1.9936
0.77,1.963
0.78,1.9347
0.79,1.9084
0.8,1.8839
0.81,1.8611
0.82,1.8397
0.83,1.8197
0.84,1.8009
0.85,1.7832
0.86,1.7665
0.87,1.7508
0.88,1.7358
0.89,1.7216
0.9,1.7081
0.91,1.6952
0.92,1.6828
0.93,1.6711
0.94,1.6597
0.95,1.6489
0.96,1.6384
0.97,1.6283
0.98,1.6186
0.99,1.6091
1,1.6
1.01,1.5911
1.02,1.5825
1.03,1.5741
1.04,1.566
1.05,1.558
1.06,1.5502
1.07,1.5426
1.08,1.5351
1.09,1.5278
1.1,1.5207
1.11,1.5136
1.12,1.5067
1.13,1.4999
1.14,1.4933
1.15,1.4867
1.16,1.4802
1.17,1.4738
1.18,1.4675
1.19,1.4613
1.2,1.4551
1.21,1.4491
1.22,1.4431
1.23,1.4371
1.24,1.4313
1.25,1.4255
1.26,1.4197
1.27,1.414
1.28,1.4084
1.29,1.4028
1.3,1.3973
1.31,1.3918
1.32,1.3863
1.33,1.381
1.34,1.3756
1.35,1.3703
1.36,1.365
1.37,1.3598
1.38,1.3546
1.39,1.3495
1.4,1.3444
1.41,1.3393
1.42,1.3343
1.43,1.3293
1.44,1.3243
1.45,1.3194
1.46,1.3145
1.47,1.3096
1.48,1.3048
1.49,1.3
1.5,1.2952
1.51,1.2905
1.52,1.2858
1.53,1.2811
1.54,1.2765
1.55,1.2718
1.56,1.2673
1.57,1.2627
1.58,1.2582
1.59,1.2537
1.6,1.2492
1.61,1.2447
1.62,1.2403
1.63,1.2359
1.64,1.2315
1.65,1.2272
1.66,1.2229
1.67,1.2186
1.68,1.2143
1.69,1.2101
1.7,1.2058
1.71,1.2016
1.72,1.1975
1.73,1.1933
1.74,1.1892
1.75,1.1851
1.76,1.181
1.77,1.177
1.78,1.173
1.79,1.169
1.8,1.165
1.81,1.161
1.82,1.1571
1.83,1.1532
1.84,1.1493
1.85,1.1454
1.86,1.1416
1.87,1.1378
1.88,1.134
1.89,1.1302
1.9,1.1264
1.91,1.1227
1.92,1.119
1.93,1.1153
1.94,1.1116
1.95,1.108
1.96,1.1043
1.97,1.1007
1.98,1.0971
1.99,1.0936
2,1.09
2.01,1.0865
2.02,1.083
2.03,1.0795
2.04,1.076
2.05,1.0725
2.06,1.0691
2.07,1.0657
2.08,1.0623
2.09,1.0589
2.1,1.0556
2.11,1.0522
2.12,1.0489
2.13,1.0456
2.14,1.0423
2.15,1.0391
2.16,1.0358
2.17,1.0326
2.18,1.0294
2.19,1.0262
2.2,1.023
2.21,1.0199
2.22,1.0167
2.23,1.0136
2.24,1.0105
2.25,1.0074
2.26,1.0043
2.27,1.0013
2.28,0.99824
2.29,0.99522
2.3,0.99221
2.31,0.98923
2.32,0.98625
2.33,0.9833
2.34,0.98035
2.35,0.97743
2.36,0.97452
2.37,0.97163
2.38,0.96875
2.39,0.96589
2.4,0.96304
2.41,0.96021
2.42,0.95739
2.43,0.95459
2.44,0.9518
2.45,0.94903
2.46,0.94627
2.47,0.94353
2.48,0.9408
2.49,0.93808
2.5,0.93538
2.51,0.9327
2.52,0.93003
2.53,0.92737
2.54,0.92473
2.55,0.9221
2.56,0.91948
2.57,0.91688
2.58,0.91429
2.59,0.91172
2.6,0.90915
2.61,0.90661
2.62,0.90407
2.63,0.90155
2.64,0.89904
2.65,0.89654
2.66,0.89406
2.67,0.89159
2.68,0.88913
2.69,0.88669
2.7,0.88425
2.71,0.88183
2.72,0.87942
2.73,0.87703
2.74,0.87464
2.75,0.87227
2.76,0.86991
2.77,0.86756
2.78,0.86523
2.79,0.8629
2.8,0.86059
2.81,0.85829
2.82,0.856
2.83,0.85372
2.84,0.85145
2.85,0.8492
2.86,0.84695
2.87,0.84472
2.88,0.8425
2.89,0.84029
2.9,0.83809
2.91,0.8359
2.92,0.83372
2.93,0.83155
2.94,0.82939
2.95,0.82725
2.96,0.82511
2.97,0.82298
2.98,0.82087
2.99,0.81876
3,0.81667
