0.001,29.3,2513.7
0.0012,40.6,2518.6
0.0014,50.3,2522.8
0.0016,58.8,2526.5
0.0018,66.5,2529.9
0.002,73.4,2532.9
0.003,101,2544.8
0.004,121.4,2553.7
0.006,151.5,2566.6
0.008,173.8,2576.2
0.01,191.8,2583.9
0.012,206.9,2590.3
0.014,220,2595.8
0.016,231.6,2600.6
0.018,242,2605
0.02,251.4,2608.9
0.03,289.3,2624.5
0.04,317.6,2636.1
0.06,359.9,2652.9
0.08,391.7,2665.2
0.1,417.5,2674.9
0.12,439.4,2683.1
0.14,458.4,2690
0.16,475.4,2696
0.18,490.7,2701.4
0.2,504.7,2706.2
0.3,561.4,2724.9
0.4,604.7,2738.1
0.6,670.4,2756.1
0.8,720.9,2768.3
1,762.5,2777.1
1.2,798.3,2783.7
1.4,830,2788.8
1.6,858.5,2792.8
1.8,884.5,2795.9
2,908.5,2798.3
3,1008.3,2803.2
4,1087.5,2800.8
6,1213.9,2784.6
8,1317.3,2758.7
10,1408.1,2725.5
12,1491.5,2685.4
14,1571,2637.9
16,1649.7,2580.8
18,1732.1,2509.8
20,1827.2,2412.3
22.064,2084.3,2084.3
